"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"455","SAC",2013,"Sep",33,2097,15.7367668097282
"456","SVSP",2013,"Sep",29,3522,8.23395797842135
"457","CCI",2013,"Oct",15,4597,3.26299760713509
"458","COR",2013,"Oct",30,4409,6.80426400544341
"459","HDSP",2013,"Oct",14,3384,4.1371158392435
"460","KVSP",2013,"Oct",27,3719,7.26001613336918
"461","LAC",2013,"Oct",27,3790,7.12401055408971
"462","PBSP",2013,"Oct",16,2669,5.99475458973398
"463","SAC",2013,"Oct",28,2104,13.3079847908745
"464","SVSP",2013,"Oct",41,3473,11.8053556003455
"465","CCI",2013,"Nov",9,4433,2.03022783667945
"466","COR",2013,"Nov",25,4357,5.73789304567363
"467","HDSP",2013,"Nov",24,3314,7.24200362100181
"468","KVSP",2013,"Nov",17,3753,4.52970956568079
"469","LAC",2013,"Nov",40,3725,10.738255033557
"470","PBSP",2013,"Nov",10,2663,3.75516334960571
"471","SAC",2013,"Nov",21,2182,9.62419798350138
"472","SVSP",2013,"Nov",36,3417,10.5355575065847
"473","CCI",2013,"Dec",20,4419,4.52591083955646
"474","COR",2013,"Dec",29,4353,6.66207213416035
"475","HDSP",2013,"Dec",14,3366,4.1592394533571
"476","KVSP",2013,"Dec",32,3741,8.55386260358193
"477","LAC",2013,"Dec",33,3697,8.9261563429808
"478","PBSP",2013,"Dec",6,2659,2.25648740127868
"479","SAC",2013,"Dec",34,2202,15.4405086285195
"480","SVSP",2013,"Dec",35,3377,10.364228605271
"481","CCI",2014,"Jan",17,4407,3.85749943272067
"482","COR",2014,"Jan",25,4371,5.71951498512926
"483","HDSP",2014,"Jan",30,3383,8.86786875554242
"484","KVSP",2014,"Jan",29,3682,7.87615426398696
"485","LAC",2014,"Jan",35,3692,9.47995666305525
"486","PBSP",2014,"Jan",10,2701,3.70233246945576
"487","SAC",2014,"Jan",47,2184,21.5201465201465
